Buneary,3
Mega Lopunny ex,3
Dunsparce,4
Dudunsparce,4
Snorunt,1
Mega Froslass ex,1
Fan Rotom,1
Buddy-Buddy Poffin,4
Ultra Ball,4
Poké Pad,4
Pokégear 3.0,4
Air Balloon,3
Boss’s Orders,3
Hilda,4
Lillie's Determination,3
Wally's Compassion,3
Hand Trimmer,1
Battle Cage,1
Basic {W} Energy,5
Mist Energy,4
